Booking_ID,number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,repeated,P-C,P-not-C,average price,special requests,date of reservation,booking status
INN00115,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,Online,0,0,0,184.24,1,6/26/2018,Canceled
INN00116,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,Online,0,0,0,155.7,1,8/13/2018,Not_Canceled
INN00117,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,135.76,0,4/22/2018,Canceled
INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,Online,0,0,0,102.83,3,11/12/2018,Not_Canceled
INN00119,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Online,0,0,0,65,0,4/29/2018,Canceled
INN00120,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,Online,0,0,0,103,1,11/14/2017,Not_Canceled
INN00121,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,106.2,1,9/1/2018,Canceled
INN00122,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Offline,0,0,0,58.5,0,9/16/2018,Not_Canceled
INN00123,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,Online,0,0,0,73.95,0,3/10/2018,Canceled
INN00124,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,Online,0,0,0,105.3,0,5/5/2018,Not_Canceled
INN00125,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,Online,0,0,0,133.2,2,4/24/2018,Not_Canceled
INN00126,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,Offline,0,0,0,85.5,0,3/30/2018,Not_Canceled
INN00127,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,0,0,0,112,1,11/3/2018,Canceled
INN00128,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,Online,0,0,0,190.8,0,10/14/2018,Canceled
INN00129,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,Offline,0,0,0,110,0,6/5/2018,Not_Canceled
INN00130,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,Online,0,0,0,91.48,1,7/13/2018,Not_Canceled
INN00131,2,0,0,2,Not Selected,0,Room_Type 1,1,Online,0,0,0,135,2,10/20/2018,Not_Canceled
INN00132,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,129,2,10/17/2018,Not_Canceled
INN00133,2,0,2,4,Not Selected,0,Room_Type 1,289,Online,0,0,0,70.55,2,12/28/2018,Canceled
INN00134,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,Offline,0,0,0,75,0,10/19/2017,Not_Canceled
INN00135,1,0,0,4,Not Selected,0,Room_Type 1,80,Online,0,0,0,72.25,0,3/29/2018,Not_Canceled
INN00136,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,Online,0,0,0,155,2,10/9/2017,Not_Canceled
INN00137,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,Online,0,0,0,121.5,2,7/25/2018,Canceled
INN00138,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,Online,0,0,0,90.95,2,6/28/2018,Not_Canceled
INN00139,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,109.65,0,5/22/2018,Not_Canceled
INN00140,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,Online,0,0,0,142.72,0,4/15/2018,Canceled
INN00141,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,Offline,0,0,0,90,0,5/9/2018,Not_Canceled
INN00142,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Online,0,0,0,75,0,6/17/2018,Canceled
INN00143,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,111,1,11/18/2018,Canceled
INN00144,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,Online,0,0,0,86.7,2,10/30/2018,Not_Canceled
INN00145,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,Online,0,0,0,117.9,1,3/28/2018,Not_Canceled
INN00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Complementary,1,3,5,0,1,6/1/2018,Not_Canceled
INN00147,2,0,0,4,Not Selected,0,Room_Type 1,112,Online,0,0,0,101.58,1,5/4/2018,Not_Canceled
INN00148,2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,58.9,1,4/8/2018,Not_Canceled
INN00149,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120,0,6/8/2018,Not_Canceled
INN00150,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,Online,0,0,0,107.1,0,4/7/2018,Canceled
INN00151,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,126.9,1,5/2/2018,Not_Canceled
INN00152,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,Online,0,0,0,139.5,2,9/29/2018,Canceled
INN00153,2,0,1,3,Not Selected,0,Room_Type 1,69,Online,0,0,0,80.75,1,4/4/2018,Not_Canceled
INN00154,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,Online,0,0,0,109,0,7/17/2017,Canceled
INN00155,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,4/6/2018,Not_Canceled
INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,1,1,5,65,1,11/1/2018,Not_Canceled
INN00157,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,140.4,0,5/24/2018,Not_Canceled
INN00158,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,75,0,2/17/2018,Not_Canceled
INN00159,2,0,0,1,Not Selected,0,Room_Type 1,31,Online,0,0,0,94.5,0,4/14/2018,Canceled
INN00160,2,0,1,0,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,0,6/5/2018,Not_Canceled
INN00161,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,Online,0,0,0,105,2,11/12/2018,Not_Canceled
INN00162,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,Online,0,0,0,107.95,1,4/17/2018,Not_Canceled
INN00163,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,Online,0,0,0,215.6,1,10/7/2018,Not_Canceled
INN00164,2,0,1,1,Not Selected,0,Room_Type 1,197,Online,0,0,0,85.5,1,8/1/2018,Not_Canceled
INN00165,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,Online,0,0,0,105.3,2,7/12/2018,Not_Canceled
INN00166,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Online,0,0,0,1,0,1/2/2018,Not_Canceled
INN00167,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,Online,0,0,0,156,0,6/15/2018,Canceled
INN00168,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,Online,0,0,0,73.15,1,11/16/2018,Not_Canceled
INN00169,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Online,0,0,0,110,0,9/19/2018,Canceled
INN00170,2,1,1,0,Not Selected,0,Room_Type 1,11,Online,0,0,0,87.4,1,9/13/2017,Not_Canceled
INN00171,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,0,0,0,120,0,9/15/2018,Canceled
INN00172,2,0,1,2,Not Selected,0,Room_Type 1,185,Online,0,0,0,79.2,0,12/16/2018,Canceled
INN00173,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,Online,0,0,0,90.95,1,6/30/2018,Not_Canceled
INN00174,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,91.48,1,10/18/2018,Not_Canceled
INN00175,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,150,1,11/5/2018,Canceled
INN00176,2,0,0,1,Not Selected,0,Room_Type 1,2,Online,0,0,0,89,0,3/22/2018,Not_Canceled
INN00177,2,0,1,4,Not Selected,0,Room_Type 1,14,Online,0,0,0,91.43,1,8/17/2018,Not_Canceled
INN00178,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,Offline,0,0,0,140,0,5/20/2018,Not_Canceled
INN00179,1,1,2,5,Not Selected,0,Room_Type 1,37,Online,0,0,0,87.78,0,10/24/2017,Not_Canceled
INN00180,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,Online,0,0,0,115,0,7/21/2018,Canceled
INN00181,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,80.85,1,9/9/2017,Not_Canceled
INN00182,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,82.45,1,3/31/2018,Not_Canceled
INN00183,2,0,0,1,Not Selected,0,Room_Type 1,109,Online,0,0,0,108,0,10/11/2018,Canceled
INN00184,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,Online,0,0,0,96.3,1,4/2/2018,Not_Canceled
INN00185,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,Online,0,0,0,99.45,0,8/22/2018,Canceled
INN00186,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,140.4,1,5/13/2018,Not_Canceled
INN00187,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,Offline,0,0,0,72.25,0,8/8/2018,Not_Canceled
INN00188,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,Online,0,0,0,126,0,8/15/2018,Not_Canceled
INN00189,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,Online,0,0,0,78,0,8/19/2018,Canceled
INN00190,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,Online,0,0,0,146.6,1,11/6/2018,Not_Canceled
INN00191,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,Online,0,0,0,118.8,0,10/10/2018,Canceled
INN00192,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,145,0,10/6/2018,Canceled
INN00193,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,Online,0,0,0,84.58,0,4/6/2018,Canceled
INN00194,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,Online,0,0,0,130,0,3/25/2018,Canceled
INN00195,2,0,4,10,Meal Plan 1,0,Room_Type 4,147,Online,0,0,0,118.88,1,8/3/2018,Canceled
INN00196,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,Offline,0,0,0,101.52,0,5/30/2018,Not_Canceled
INN00197,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,Corporate,0,0,0,100,0,9/11/2017,Canceled
INN00198,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,Offline,0,0,0,58,0,3/20/2018,Not_Canceled
INN00199,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,Offline,0,0,0,61.5,2,3/23/2018,Not_Canceled
INN00200,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,0,0,0,107,0,9/26/2018,Canceled
INN00201,2,0,1,4,Not Selected,0,Room_Type 1,156,Online,0,0,0,87.3,1,8/24/2018,Not_Canceled
INN00202,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,Online,0,0,0,76.5,1,7/16/2017,Canceled
INN00203,2,0,2,2,Not Selected,0,Room_Type 1,211,Online,0,0,0,63.75,0,12/16/2018,Canceled
INN00204,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Online,0,0,0,95,0,5/13/2018,Canceled
INN00205,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,75,1,11/19/2018,Not_Canceled
INN00206,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,Online,0,0,0,70,0,9/8/2018,Canceled
INN00207,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,101.58,1,5/2/2018,Not_Canceled
INN00208,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,Offline,0,0,0,85,0,8/21/2018,Not_Canceled
INN00209,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,Online,0,0,0,98.39,0,12/3/2018,Not_Canceled
INN00210,1,0,0,0,Meal Plan 1,0,Room_Type 1,4,Complementary,0,0,0,0,1,2/27/2018,Not_Canceled
INN00211,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,106.07,1,9/22/2017,Not_Canceled
INN00212,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,Offline,0,0,0,105,1,7/18/2018,Not_Canceled
INN00213,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,145,2,9/22/2017,Not_Canceled
INN00214,3,0,2,1,Meal Plan 1,0,Room_Type 1,195,Online,0,0,0,106.03,1,8/13/2018,Canceled
INN00215,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,Online,0,0,0,114.3,1,8/13/2018,Not_Canceled
INN00216,1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88,0,12/5/2018,Not_Canceled
INN00217,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,Online,0,0,0,89.25,2,10/15/2017,Not_Canceled
INN00218,2,1,2,5,Meal Plan 1,0,Room_Type 4,78,Online,0,0,0,86.32,1,3/20/2018,Not_Canceled
INN00219,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,Offline,0,0,0,90,1,10/13/2018,Not_Canceled
INN00220,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,Online,0,0,0,55.96,0,8/22/2017,Not_Canceled
INN00221,1,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,109,1,6/8/2018,Not_Canceled
INN00222,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,Offline,0,0,0,86,0,3/1/2018,Not_Canceled
INN00223,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,118.95,0,9/5/2018,Not_Canceled
